Feature,Mean_Abs_SHAP
nb_www,0.10767768152135637
ratio_digits_url,0.039180214092716555
longest_word_path,0.038292254314677886
nb_hyphens,0.03551756836182741
ratio_digits_host,0.034338213485005015
shortest_word_host,0.03374299395854984
nb_slash,0.032241515212840376
length_hostname,0.030585000312259393
nb_dots,0.0254110995087121
shortest_word_path,0.018825112509582183
prefix_suffix,0.01847610486858036
length_url,0.018448116487410602
avg_word_path,0.01836039885778888
nb_qm,0.01635591880866739
nb_underscore,0.01595594636049963
longest_word_host,0.014928699805640487
https_token,0.014305009323232348
avg_word_host,0.013557966978372572
nb_subdomains,0.01353536027920071
ip,0.013225295189357989
nb_eq,0.008769321496139106
shortening_service,0.002702774787212374
nb_at,0.002517924528222807
tld_in_subdomain,0.0021453683670159805
nb_and,0.0019039691014928856
nb_com,0.0012805746474075605
nb_percent,0.0011239222152113703
abnormal_subdomain,0.0007031238186257729
tld_in_path,0.0005046825423388936
nb_space,0.0004422731494387652
nb_semicolumn,0.00042720877709145184
nb_colon,0.00017840722978687153
nb_tilde,0.0001621158270779342
port,0.00015304508387379786
http_in_path,0.00013035399346182186
nb_dslash,0.0001108305894355798
nb_comma,6.4569996047732505e-06
punycode,4.800468945475583e-06
nb_star,1.9952888019164707e-06
nb_or,0.0
nb_dollar,0.0
path_extension,0.0
